,Unnamed: 0,index,.row_position,symbol_id,book,page,subpage,col_width,col,row,row_bbox,subrow,AOI,word_bbox,word_confidence,symbol_bbox,symbol_confidence,symbol,text,.symbol_row_position,data_source_type
0,0,1378,1379,0,pr1954,p0019,0,708.000244140625,3,3,"[[0.0, 613.9999389648438], [676.9998779296875, 613.9999389648438], [676.9998779296875, 674.9999389648438], [-1.867586311226038e-15, 674.9999389648438]]",0,0.8417059467856524,"[[6, 603], [59, 604], [57, 676], [4, 675]]",0.9800000190734864,"[[6, 603], [59, 604], [57, 676], [4, 675]]",0.9800000190734864,ア,アース商會,10109,firm
1,1,1379,1380,0,pr1954,p0019,0,708.000244140625,3,4,"[[0.0, 702.0], [677.0, 702.0], [677.0, 761.0], [-1.806354087710788e-15, 761.0]]",0,0.7763157894736842,"[[7, 691], [63, 691], [63, 767], [7, 767]]",0.9800000190734864,"[[7, 691], [63, 691], [63, 767], [7, 767]]",0.9800000190734864,ア,アイエ書店,10114,firm
2,2,1380,1381,0,pr1954,p0019,0,708.000244140625,3,5,"[[0.0, 785.0], [677.0, 785.0], [677.0, 845.0], [-1.8369703053475314e-15, 845.0]]",0,0.7692307692307693,"[[10, 774], [62, 774], [62, 852], [10, 852]]",0.9800000190734864,"[[10, 774], [62, 774], [62, 852], [10, 852]]",0.9800000190734864,ア,アイゼンベルグ商會1,10119,firm
3,3,1381,1382,0,pr1954,p0019,0,708.000244140625,3,6,"[[0.0, 872.0], [677.0, 872.0], [677.0, 931.0], [-1.806354087710788e-15, 931.0]]",0,0.7972972972972974,"[[18, 865], [66, 865], [66, 939], [18, 939]]",0.9800000190734864,"[[18, 865], [66, 865], [66, 939], [18, 939]]",0.9800000190734864,ア,アイデアル石鹸、,10129,firm
4,4,1382,1383,0,pr1954,p0019,0,708.000244140625,3,7,"[[0.0, 964.0], [677.0, 964.0], [677.0, 1015.0], [-1.5614247701333135e-15, 1015.0]]",0,0.796875,"[[6, 956], [58, 956], [58, 1020], [6, 1020]]",0.9900000095367432,"[[6, 956], [58, 956], [58, 1020], [6, 1020]]",0.9900000095367432,ア,アイデン,10137,firm
5,5,1383,1384,0,pr1954,p0019,0,708.000244140625,3,8,"[[0.0, 1045.0], [677.0, 1045.0], [677.0, 1108.0], [-1.928818746499525e-15, 1108.0]]",0,0.8513513513513513,"[[18, 1037], [66, 1037], [66, 1111], [18, 1111]]",0.9800000190734864,"[[18, 1037], [66, 1037], [66, 1111], [18, 1111]]",0.9800000190734864,ア,アコマ醫科工業,10141,firm
6,6,1384,1385,0,pr1954,p0019,0,708.000244140625,3,9,"[[0.0, 1140.0], [677.0, 1140.0], [677.0, 1188.0], [-1.4695762231022014e-15, 1188.0]]",0,0.6666666666666667,"[[8, 1124], [67, 1124], [67, 1196], [8, 1196]]",0.9800000190734864,"[[8, 1124], [67, 1124], [67, 1196], [8, 1196]]",0.9800000190734864,ア,アサノコンクリート1,10148,firm
7,7,1385,1386,0,pr1954,p0019,0,708.000244140625,3,10,"[[0.0, 1218.9998779296875], [676.9998779296875, 1218.9998779296875], [676.9998779296875, 1312.9998779296875], [-2.8779195874144422e-15, 1312.9998779296875]]",0,0.8448296908674569,"[[10, 1210], [53, 1210], [53, 1268], [10, 1268]]",0.959999978542328,"[[10, 1210], [53, 1210], [53, 1268], [10, 1268]]",0.959999978542328,ア,アサヒイブニングニュース祉,10158,firm
8,8,1386,1387,0,pr1954,p0019,0,708.000244140625,3,11,"[[0.0, 1338.9998779296875], [676.9998779296875, 1338.9998779296875], [676.9998779296875, 1399.9998779296875], [-1.867586311226038e-15, 1399.9998779296875]]",0,0.7625000000000001,"[[11, 1327], [64, 1327], [64, 1407], [11, 1407]]",0.9800000190734864,"[[11, 1327], [64, 1327], [64, 1407], [11, 1407]]",0.9800000190734864,ア,アサヒ藝能新聞社,10171,firm
9,9,1387,1388,0,pr1954,p0019,0,708.000244140625,3,12,"[[0.0, 1426.0], [677.0, 1426.0], [677.0, 1485.0], [-1.806354087710788e-15, 1485.0]]",0,0.7972972972972974,"[[15, 1417], [69, 1417], [69, 1491], [15, 1491]]",0.9800000190734864,"[[15, 1417], [69, 1417], [69, 1491], [15, 1491]]",0.9800000190734864,ア,アサヒ商店,10179,firm
